time,zone,veh,activation
1080,334,4308,1
1260,334,4308,0
2700,334,12657,1
2880,334,12657,0
2949,336,13933,1
3060,336,13933,0
4494,332,21282,1
4500,332,21282,0
4750,331,22531,1
4860,331,22531,0
5040,331,23781,1
5220,331,23781,0
5471,339,26050,1
5580,339,26050,0
6840,338,32230,1
7020,338,32230,0
7200,332,32674,1
7200,335,34039,1
7380,332,32674,0
7380,335,34039,0
7560,339,34399,1
7740,339,34399,0
8936,338,42578,1
9000,338,42578,0
9180,335,37902,1
9180,335,38266,1
9180,335,38312,1
9180,335,38313,1
9180,335,38419,1
9180,335,38574,1
9180,335,38822,1
9180,335,38886,1
9180,335,38901,1
9180,335,38908,1
9180,335,38961,1
9180,335,39037,1
9180,335,39038,1
9180,335,39053,1
9180,335,39130,1
9180,335,39250,1
9180,335,39290,1
9180,335,39293,1
9180,335,39298,1
9180,335,39314,1
9180,335,39453,1
9180,335,39492,1
9180,335,39494,1
9180,335,39498,1
9180,335,39592,1
9180,335,39593,1
9180,335,39596,1
9180,335,39613,1
9180,335,39614,1
9180,335,39637,1
9180,335,39669,1
9180,335,39670,1
9180,335,39686,1
9180,335,39806,1
9180,335,39889,1
9180,335,39892,1
9180,335,39920,1
9180,335,39941,1
9180,335,39993,1
9180,335,40046,1
9180,335,40060,1
9180,335,40066,1
9180,335,40074,1
9180,335,40082,1
9180,335,40159,1
9180,335,40169,1
9180,335,40192,1
9180,335,40246,1
9180,335,40274,1
9180,335,40324,1
9180,335,40356,1
9180,335,40378,1
9180,335,40437,1
9180,335,40453,1
9180,335,40454,1
9180,335,40560,1
9180,335,40575,1
9180,335,40577,1
9180,335,40610,1
9180,335,40633,1
9180,335,40637,1
9180,335,40641,1
9180,335,40653,1
9180,335,40733,1
9180,335,40745,1
9180,335,40769,1
9180,335,40781,1
9180,335,40792,1
9180,335,40837,1
9180,335,40894,1
9180,335,40969,1
9180,335,41004,1
9180,335,41005,1
9180,335,41018,1
9180,335,41044,1
9180,335,41039,1
9180,335,41126,1
9180,335,41127,1
9180,335,41130,1
9180,335,41131,1
9180,335,41134,1
9180,335,41161,1
9180,335,41162,1
9180,335,41238,1
9180,335,41283,1
9180,335,41290,1
9180,335,41341,1
9180,335,41368,1
9180,335,41384,1
9180,335,41408,1
9180,335,41453,1
9180,335,41457,1
9180,335,41467,1
9180,335,41542,1
9180,335,41545,1
9180,335,41546,1
9180,335,41562,1
9180,335,41574,1
9180,335,41585,1
9180,335,41575,1
9180,335,41619,1
9180,335,41625,1
9180,335,41632,1
9180,335,41633,1
9180,335,41637,1
9180,335,41652,1
9180,335,41657,1
9180,335,41689,1
9180,335,41691,1
9180,335,41692,1
9180,335,41730,1
9180,335,41748,1
9180,335,41800,1
9180,335,41789,1
9180,335,41806,1
9180,335,41809,1
9180,335,41793,1
9180,335,41838,1
9180,335,41846,1
9180,335,41848,1
9180,335,41911,1
9180,335,41929,1
9180,335,41941,1
9180,335,41942,1
9180,335,41961,1
9180,335,41981,1
9180,335,42006,1
9180,335,42011,1
9180,335,42042,1
9180,335,42044,1
9180,335,42038,1
9180,335,42078,1
9180,335,42088,1
9180,335,42096,1
9180,335,42102,1
9180,335,42109,1
9180,335,42123,1
9180,335,42148,1
9180,335,42149,1
9180,335,42163,1
9180,335,42173,1
9180,335,42215,1
9180,335,42233,1
9180,335,42251,1
9180,335,42256,1
9180,335,42259,1
9180,335,42265,1
9180,335,42279,1
9180,335,42312,1
9180,335,42348,1
9180,335,42355,1
9180,335,42358,1
9180,335,42384,1
9180,335,42385,1
9180,335,42395,1
9180,335,42398,1
9180,335,42412,1
9180,335,42430,1
9180,335,42431,1
9180,335,42439,1
9180,335,42446,1
9180,335,42455,1
9180,335,42458,1
9180,335,42465,1
9180,335,42478,1
9180,335,42505,1
9180,335,42516,1
9180,335,42527,1
9180,335,42545,1
9180,335,42580,1
9180,335,42597,1
9180,335,42610,1
9180,335,42633,1
9180,335,42636,1
9180,335,42640,1
9180,335,42645,1
9180,335,42663,1
9180,335,42678,1
9180,335,42682,1
9180,335,42695,1
9180,335,42714,1
9180,335,42717,1
9180,335,42725,1
9180,335,42727,1
9180,335,42776,1
9180,335,42796,1
9180,335,42807,1
9180,335,42808,1
9180,335,42812,1
9180,335,42819,1
9180,335,42838,1
9180,335,42850,1
9180,335,42851,1
9180,335,42853,1
9180,335,42872,1
9180,335,42877,1
9180,335,42906,1
9180,335,42913,1
9180,335,42919,1
9180,335,42922,1
9180,335,42930,1
9180,335,42941,1
9180,335,42951,1
9180,335,42969,1
9180,335,42974,1
9180,335,42980,1
9180,335,42992,1
9180,335,42999,1
9180,335,43052,1
9180,335,43058,1
9180,335,43073,1
9180,335,43075,1
9180,335,43093,1
9180,335,43095,1
9180,335,43102,1
9180,335,43134,1
9180,335,43140,1
9180,335,43149,1
9180,335,43150,1
9180,335,43152,1
9180,335,43184,1
9180,335,43185,1
9180,335,43203,1
9180,335,43216,1
9180,335,43225,1
9180,335,43241,1
9180,335,43255,1
9180,335,43284,1
9180,335,43285,1
9180,335,43288,1
9180,335,43293,1
9180,335,43351,1
9180,335,43360,1
9180,335,43381,1
9180,335,43406,1
9180,335,43409,1
9180,335,43421,1
9180,335,43422,1
9180,335,43424,1
9180,335,43430,1
9180,335,43463,1
9180,335,43464,1
9180,335,43465,1
9180,335,43468,1
9180,335,43478,1
9180,335,43482,1
9180,335,43501,1
9180,335,43502,1
9180,335,43507,1
9180,335,43513,1
9180,335,43550,1
9180,335,43569,1
9180,335,43571,1
9180,335,43573,1
9180,335,43576,1
9180,335,43592,1
9180,335,43595,1
9180,335,43626,1
9180,335,43634,1
9180,335,43645,1
9180,335,43647,1
9180,335,43648,1
9180,335,43658,1
9180,335,43679,1
9180,335,43685,1
9180,335,43690,1
9181,335,43699,1
9184,335,43709,1
9191,335,43742,1
9191,335,43743,1
9192,335,43745,1
9195,335,43761,1
9199,335,43786,1
9199,335,43788,1
9204,335,43810,1
9205,335,43812,1
9207,335,43826,1
9210,335,43837,1
9215,335,43858,1
9219,335,43878,1
9224,335,43906,1
9226,335,43911,1
9235,335,43949,1
9245,335,43997,1
9246,335,44001,1
9249,335,44021,1
9250,335,44026,1
9251,335,44030,1
9251,335,44031,1
9251,335,44032,1
9251,335,44035,1
9262,335,44067,1
9262,335,44070,1
9264,335,44077,1
9275,335,44115,1
9277,335,44124,1
9279,335,44130,1
9279,335,44131,1
9281,335,44137,1
9281,335,44138,1
9282,335,44140,1
9282,335,44142,1
9283,335,44146,1
9286,335,44154,1
9287,335,44160,1
9295,335,44197,1
9296,335,44198,1
9299,335,44210,1
9300,335,44212,1
9300,335,44214,1
9300,335,44215,1
9301,335,44218,1
9304,335,44237,1
9305,335,44241,1
9307,335,44254,1
9308,335,44259,1
9310,335,44274,1
9315,335,44295,1
9321,335,44317,1
9321,335,44320,1
9322,335,44322,1
9322,335,44323,1
9323,335,44325,1
9325,335,44335,1
9325,335,44337,1
9340,335,44398,1
9342,335,44408,1
9343,335,44416,1
9344,335,44427,1
9345,335,44432,1
9346,335,44434,1
9347,335,44436,1
9348,335,44440,1
9348,335,44441,1
9349,335,44450,1
9358,335,44499,1
9359,335,44501,1
9360,335,44511,1
9360,335,37902,0
9360,335,38266,0
9360,335,38312,0
9360,335,38313,0
9360,335,38419,0
9360,335,38574,0
9360,335,38822,0
9360,335,38886,0
9360,335,38901,0
9360,335,38908,0
9360,335,38961,0
9360,335,39037,0
9360,335,39038,0
9360,335,39053,0
9360,335,39130,0
9360,335,39250,0
9360,335,39290,0
9360,335,39293,0
9360,335,39298,0
9360,335,39314,0
9360,335,39453,0
9360,335,39492,0
9360,335,39494,0
9360,335,39498,0
9360,335,39592,0
9360,335,39593,0
9360,335,39596,0
9360,335,39613,0
9360,335,39614,0
9360,335,39637,0
9360,335,39669,0
9360,335,39670,0
9360,335,39686,0
9360,335,39806,0
9360,335,39889,0
9360,335,39892,0
9360,335,39920,0
9360,335,39941,0
9360,335,39993,0
9360,335,40046,0
9360,335,40060,0
9360,335,40066,0
9360,335,40074,0
9360,335,40082,0
9360,335,40159,0
9360,335,40169,0
9360,335,40192,0
9360,335,40246,0
9360,335,40274,0
9360,335,40324,0
9360,335,40356,0
9360,335,40437,0
9360,335,40453,0
9360,335,40454,0
9360,335,40560,0
9360,335,40575,0
9360,335,40577,0
9360,335,40610,0
9360,335,40633,0
9360,335,40637,0
9360,335,40641,0
9360,335,40653,0
9360,335,40733,0
9360,335,40745,0
9360,335,40769,0
9360,335,40781,0
9360,335,40792,0
9360,335,40837,0
9360,335,40894,0
9360,335,40969,0
9360,335,41004,0
9360,335,41005,0
9360,335,41018,0
9360,335,41039,0
9360,335,41044,0
9360,335,41126,0
9360,335,41130,0
9360,335,41131,0
9360,335,41134,0
9360,335,41161,0
9360,335,41162,0
9360,335,41238,0
9360,335,41283,0
9360,335,41290,0
9360,335,41341,0
9360,335,41368,0
9360,335,41384,0
9360,335,41408,0
9360,335,41453,0
9360,335,41457,0
9360,335,41467,0
9360,335,41542,0
9360,335,41545,0
9360,335,41546,0
9360,335,41562,0
9360,335,41574,0
9360,335,41575,0
9360,335,41585,0
9360,335,41619,0
9360,335,41625,0
9360,335,41632,0
9360,335,41633,0
9360,335,41637,0
9360,335,41652,0
9360,335,41689,0
9360,335,41691,0
9360,335,41692,0
9360,335,41730,0
9360,335,41748,0
9360,335,41789,0
9360,335,41793,0
9360,335,41800,0
9360,335,41806,0
9360,335,41809,0
9360,335,41838,0
9360,335,41846,0
9360,335,41848,0
9360,335,41911,0
9360,335,41929,0
9360,335,41941,0
9360,335,41942,0
9360,335,41961,0
9360,335,41981,0
9360,335,42006,0
9360,335,42011,0
9360,335,42038,0
9360,335,42042,0
9360,335,42044,0
9360,335,42078,0
9360,335,42088,0
9360,335,42096,0
9360,335,42102,0
9360,335,42109,0
9360,335,42123,0
9360,335,42148,0
9360,335,42149,0
9360,335,42163,0
9360,335,42173,0
9360,335,42215,0
9360,335,42233,0
9360,335,42251,0
9360,335,42256,0
9360,335,42259,0
9360,335,42265,0
9360,335,42279,0
9360,335,42348,0
9360,335,42355,0
9360,335,42358,0
9360,335,42384,0
9360,335,42385,0
9360,335,42395,0
9360,335,42398,0
9360,335,42412,0
9360,335,42430,0
9360,335,42431,0
9360,335,42439,0
9360,335,42446,0
9360,335,42455,0
9360,335,42458,0
9360,335,42465,0
9360,335,42478,0
9360,335,42505,0
9360,335,42516,0
9360,335,42527,0
9360,335,42545,0
9360,335,42580,0
9360,335,42597,0
9360,335,42610,0
9360,335,42633,0
9360,335,42636,0
9360,335,42640,0
9360,335,42645,0
9360,335,42663,0
9360,335,42678,0
9360,335,42682,0
9360,335,42695,0
9360,335,42714,0
9360,335,42717,0
9360,335,42725,0
9360,335,42727,0
9360,335,42776,0
9360,335,42796,0
9360,335,42807,0
9360,335,42808,0
9360,335,42812,0
9360,335,42819,0
9360,335,42838,0
9360,335,42850,0
9360,335,42851,0
9360,335,42853,0
9360,335,42872,0
9360,335,42877,0
9360,335,42906,0
9360,335,42913,0
9360,335,42919,0
9360,335,42922,0
9360,335,42930,0
9360,335,42941,0
9360,335,42951,0
9360,335,42969,0
9360,335,42974,0
9360,335,42980,0
9360,335,42992,0
9360,335,42999,0
9360,335,43052,0
9360,335,43058,0
9360,335,43073,0
9360,335,43075,0
9360,335,43093,0
9360,335,43095,0
9360,335,43102,0
9360,335,43134,0
9360,335,43140,0
9360,335,43149,0
9360,335,43150,0
9360,335,43152,0
9360,335,43184,0
9360,335,43185,0
9360,335,43203,0
9360,335,43216,0
9360,335,43225,0
9360,335,43241,0
9360,335,43255,0
9360,335,43284,0
9360,335,43285,0
9360,335,43288,0
9360,335,43293,0
9360,335,43351,0
9360,335,43360,0
9360,335,43381,0
9360,335,43406,0
9360,335,43409,0
9360,335,43421,0
9360,335,43422,0
9360,335,43424,0
9360,335,43430,0
9360,335,43463,0
9360,335,43464,0
9360,335,43465,0
9360,335,43468,0
9360,335,43478,0
9360,335,43482,0
9360,335,43501,0
9360,335,43502,0
9360,335,43507,0
9360,335,43513,0
9360,335,43550,0
9360,335,43569,0
9360,335,43571,0
9360,335,43573,0
9360,335,43576,0
9360,335,43592,0
9360,335,43595,0
9360,335,43626,0
9360,335,43634,0
9360,335,43645,0
9360,335,43647,0
9360,335,43648,0
9360,335,43658,0
9360,335,43679,0
9360,335,43685,0
9360,335,43690,0
9360,335,43699,0
9360,335,43709,0
9360,335,43742,0
9360,335,43743,0
9360,335,43745,0
9360,335,43761,0
9360,335,43786,0
9360,335,43788,0
9360,335,43810,0
9360,335,43812,0
9360,335,43826,0
9360,335,43837,0
9360,335,43858,0
9360,335,43878,0
9360,335,43906,0
9360,335,43911,0
9360,335,43949,0
9360,335,43997,0
9360,335,44001,0
9360,335,44021,0
9360,335,44026,0
9360,335,44030,0
9360,335,44032,0
9360,335,44035,0
9360,335,44067,0
9360,335,44070,0
9360,335,44077,0
9360,335,44115,0
9360,335,44124,0
9360,335,44130,0
9360,335,44131,0
9360,335,44137,0
9360,335,44138,0
9360,335,44140,0
9360,335,44142,0
9360,335,44146,0
9360,335,44154,0
9360,335,44160,0
9360,335,44197,0
9360,335,44198,0
9360,335,44210,0
9360,335,44212,0
9360,335,44214,0
9360,335,44215,0
9360,335,44218,0
9360,335,44237,0
9360,335,44241,0
9360,335,44254,0
9360,335,44259,0
9360,335,44274,0
9360,335,44295,0
9360,335,44317,0
9360,335,44320,0
9360,335,44322,0
9360,335,44323,0
9360,335,44325,0
9360,335,44335,0
9360,335,44337,0
9360,335,44398,0
9360,335,44408,0
9360,335,44416,0
9360,335,44427,0
9360,335,44432,0
9360,335,44434,0
9360,335,44436,0
9360,335,44440,0
9360,335,44441,0
9360,335,44450,0
9360,335,44499,0
9360,335,44501,0
9360,335,44511,0
9360,335,38266,1
9360,335,38312,1
9360,335,38313,1
9360,335,38618,1
9360,335,38747,1
9360,335,38773,1
9360,335,38897,1
9360,335,38908,1
9360,335,38947,1
9360,335,39053,1
9360,335,39372,1
9360,335,39421,1
9360,335,39427,1
9360,335,39453,1
9360,335,39545,1
9360,335,39706,1
9360,335,39806,1
9360,335,39920,1
9360,335,39972,1
9360,335,39993,1
9360,335,40045,1
9360,335,40078,1
9360,335,40079,1
9360,335,40159,1
9360,335,40163,1
9360,335,40187,1
9360,335,40317,1
9360,335,40324,1
9360,335,40357,1
9360,335,40356,1
9360,335,40368,1
9360,335,40428,1
9360,335,40433,1
9360,335,40437,1
9360,335,40457,1
9360,335,40471,1
9360,335,40475,1
9360,335,40538,1
9360,335,40546,1
9360,335,40605,1
9360,335,40615,1
9360,335,40693,1
9360,335,40759,1
9360,335,40869,1
9360,335,40894,1
9360,335,40974,1
9360,335,41007,1
9360,335,41018,1
9360,335,41044,1
9360,335,41067,1
9360,335,41090,1
9360,335,41130,1
9360,335,41193,1
9360,335,41235,1
9360,335,41247,1
9360,335,41252,1
9360,335,41332,1
9360,335,41339,1
9360,335,41341,1
9360,335,41453,1
9360,335,41467,1
9360,335,41544,1
9360,335,41574,1
9360,335,41619,1
9360,335,41628,1
9360,335,41632,1
9360,335,41644,1
9360,335,41648,1
9360,335,41655,1
9360,335,41664,1
9360,335,41775,1
9360,335,41842,1
9360,335,41858,1
9360,335,41891,1
9360,335,41947,1
9360,335,41964,1
9360,335,42060,1
9360,335,42121,1
9360,335,42122,1
9360,335,42133,1
9360,335,42208,1
9360,335,42216,1
9360,335,42259,1
9360,335,42265,1
9360,335,42278,1
9360,335,42281,1
9360,335,42289,1
9360,335,42304,1
9360,335,42342,1
9360,335,42351,1
9360,335,42358,1
9360,335,42440,1
9360,335,42444,1
9360,335,42454,1
9360,335,42465,1
9360,335,42481,1
9360,335,42488,1
9360,335,42503,1
9360,335,42505,1
9360,335,42558,1
9360,335,42565,1
9360,335,42636,1
9360,335,42644,1
9360,335,42645,1
9360,335,42662,1
9360,335,42676,1
9360,335,42708,1
9360,335,42736,1
9360,335,42773,1
9360,335,42831,1
9360,335,42838,1
9360,335,42844,1
9360,335,42845,1
9360,335,42891,1
9360,335,42896,1
9360,335,42955,1
9360,335,42969,1
9360,335,42980,1
9360,335,42996,1
9360,335,43001,1
9360,335,43034,1
9360,335,43035,1
9360,335,43036,1
9360,335,43027,1
9360,335,43052,1
9360,335,43067,1
9360,335,43072,1
9360,335,43096,1
9360,335,43102,1
9360,335,43103,1
9360,335,43113,1
9360,335,43150,1
9360,335,43163,1
9360,335,43183,1
9360,335,43194,1
9360,335,43199,1
9360,335,43216,1
9360,335,43223,1
9360,335,43232,1
9360,335,43282,1
9360,335,43283,1
9360,335,43284,1
9360,335,43305,1
9360,335,43372,1
9360,335,43373,1
9360,335,43386,1
9360,335,43424,1
9360,335,43430,1
9360,335,43434,1
9360,335,43464,1
9360,335,43467,1
9360,335,43482,1
9360,335,43497,1
9360,335,43507,1
9360,335,43509,1
9360,335,43512,1
9360,335,43517,1
9360,335,43527,1
9360,335,43531,1
9360,335,43543,1
9360,335,43550,1
9360,335,43626,1
9360,335,43634,1
9360,335,43658,1
9360,335,43661,1
9360,335,43682,1
9360,335,43690,1
9360,335,43693,1
9360,335,43707,1
9360,335,43725,1
9360,335,43744,1
9360,335,43745,1
9360,335,43784,1
9360,335,43786,1
9360,335,43788,1
9360,335,43812,1
9360,335,43824,1
9360,335,43826,1
9360,335,43834,1
9360,335,43847,1
9360,335,43896,1
9360,335,43962,1
9360,335,44007,1
9360,335,44012,1
9360,335,44013,1
9360,335,44027,1
9360,335,44039,1
9360,335,44064,1
9360,335,44067,1
9360,335,44094,1
9360,335,44104,1
9360,335,44115,1
9360,335,44130,1
9360,335,44132,1
9360,335,44137,1
9360,335,44140,1
9360,335,44141,1
9360,335,44160,1
9360,335,44164,1
9360,335,44175,1
9360,335,44176,1
9360,335,44181,1
9360,335,44215,1
9360,335,44237,1
9360,335,44252,1
9360,335,44281,1
9360,335,44286,1
9360,335,44315,1
9360,335,44322,1
9360,335,44323,1
9360,335,44324,1
9360,335,44328,1
9360,335,44347,1
9360,335,44351,1
9360,335,44387,1
9360,335,44389,1
9360,335,44391,1
9360,335,44394,1
9360,335,44398,1
9360,335,44405,1
9360,335,44408,1
9360,335,44429,1
9360,335,44431,1
9360,335,44436,1
9360,335,44469,1
9360,335,44473,1
9360,335,44479,1
9360,335,44488,1
9360,335,44490,1
9360,335,44511,1
9363,335,44523,1
9364,335,44529,1
9366,335,44540,1
9368,335,44556,1
9369,335,44564,1
9371,335,44577,1
9371,335,44584,1
9372,335,44589,1
9372,335,44590,1
9372,335,44593,1
9373,335,44595,1
9374,335,44602,1
9379,335,44628,1
9381,335,44636,1
9384,335,44650,1
9386,335,44659,1
9388,335,44672,1
9393,335,44693,1
9394,335,44697,1
9395,335,44699,1
9395,335,44700,1
9397,335,44710,1
9398,335,44713,1
9404,335,44740,1
9404,335,44741,1
9406,335,44752,1
9407,335,44759,1
9414,335,44789,1
9417,335,44805,1
9418,335,44811,1
9418,335,44816,1
9424,335,44839,1
9434,335,44875,1
9434,335,44876,1
9437,335,44895,1
9438,335,44897,1
9444,335,44918,1
9445,335,44925,1
9446,335,44926,1
9446,335,44930,1
9449,335,44940,1
9454,335,44964,1
9458,335,44980,1
9459,335,44982,1
