time,zone,veh,activation
1080,334,4308,1
1260,334,4308,0
2700,334,12657,1
2880,334,12657,0
2949,336,13933,1
3060,336,13933,0
4494,332,21282,1
4500,332,21282,0
4750,331,22531,1
4860,331,22531,0
5040,331,23781,1
5220,331,23781,0
5471,339,26050,1
5580,339,26050,0
6840,338,32230,1
7020,338,32230,0
7200,332,32674,1
7200,335,34039,1
7380,332,32674,0
7380,335,34039,0
7560,339,34399,1
7740,339,34399,0
8936,338,42578,1
9000,338,42578,0
9180,335,37902,1
9180,335,38266,1
9180,335,38312,1
9180,335,38313,1
9180,335,38419,1
9180,335,38574,1
9180,335,38618,1
9180,335,38624,1
9180,335,38744,1
9180,335,38822,1
9180,335,38886,1
9180,335,38900,1
9180,335,38901,1
9180,335,38908,1
9180,335,38947,1
9180,335,38961,1
9180,335,38965,1
9180,335,39008,1
9180,335,39037,1
9180,335,39038,1
9180,335,39053,1
9180,335,39057,1
9180,335,39130,1
9180,335,39217,1
9180,335,39250,1
9180,335,39290,1
9180,335,39292,1
9180,335,39293,1
9180,335,39298,1
9180,335,39314,1
9180,335,39376,1
9180,335,39421,1
9180,335,39427,1
9180,335,39453,1
9180,335,39492,1
9180,335,39494,1
9180,335,39498,1
9180,335,39592,1
9180,335,39593,1
9180,335,39596,1
9180,335,39613,1
9180,335,39614,1
9180,335,39637,1
9180,335,39648,1
9180,335,39669,1
9180,335,39670,1
9180,335,39674,1
9180,335,39686,1
9180,335,39691,1
9180,335,39706,1
9180,335,39739,1
9180,335,39806,1
9180,335,39888,1
9180,335,39889,1
9180,335,39892,1
9180,335,39920,1
9180,335,39941,1
9180,335,39959,1
9180,335,39993,1
9180,335,40021,1
9180,335,40041,1
9180,335,40046,1
9180,335,40060,1
9180,335,40065,1
9180,335,40066,1
9180,335,40074,1
9180,335,40079,1
9180,335,40082,1
9180,335,40159,1
9180,335,40163,1
9180,335,40169,1
9180,335,40187,1
9180,335,40192,1
9180,335,40240,1
9180,335,40246,1
9180,335,40269,1
9180,335,40274,1
9180,335,40317,1
9180,335,40324,1
9180,335,40356,1
9180,335,40378,1
9180,335,40397,1
9180,335,40437,1
9180,335,40453,1
9180,335,40454,1
9180,335,40530,1
9180,335,40534,1
9180,335,40560,1
9180,335,40575,1
9180,335,40577,1
9180,335,40579,1
9180,335,40610,1
9180,335,40613,1
9180,335,40615,1
9180,335,40633,1
9180,335,40637,1
9180,335,40640,1
9180,335,40641,1
9180,335,40653,1
9180,335,40677,1
9180,335,40718,1
9180,335,40730,1
9180,335,40733,1
9180,335,40745,1
9180,335,40747,1
9180,335,40769,1
9180,335,40781,1
9180,335,40792,1
9180,335,40828,1
9180,335,40837,1
9180,335,40868,1
9180,335,40869,1
9180,335,40872,1
9180,335,40894,1
9180,335,40922,1
9180,335,40969,1
9180,335,40974,1
9180,335,41004,1
9180,335,41005,1
9180,335,41007,1
9180,335,41018,1
9180,335,41035,1
9180,335,41044,1
9180,335,41039,1
9180,335,41078,1
9180,335,41126,1
9180,335,41127,1
9180,335,41130,1
9180,335,41131,1
9180,335,41134,1
9180,335,41161,1
9180,335,41158,1
9180,335,41162,1
9180,335,41193,1
9180,335,41194,1
9180,335,41167,1
9180,335,41239,1
9180,335,41238,1
9180,335,41283,1
9180,335,41290,1
9180,335,41330,1
9180,335,41341,1
9180,335,41368,1
9180,335,41384,1
9180,335,41408,1
9180,335,41453,1
9180,335,41457,1
9180,335,41464,1
9180,335,41442,1
9180,335,41467,1
9180,335,41473,1
9180,335,41542,1
9180,335,41545,1
9180,335,41546,1
9180,335,41562,1
9180,335,41574,1
9180,335,41585,1
9180,335,41587,1
9180,335,41575,1
9180,335,41619,1
9180,335,41625,1
9180,335,41628,1
9180,335,41632,1
9180,335,41633,1
9180,335,41637,1
9180,335,41648,1
9180,335,41652,1
9180,335,41657,1
9180,335,41664,1
9180,335,41670,1
9180,335,41689,1
9180,335,41691,1
9180,335,41692,1
9180,335,41730,1
9180,335,41748,1
9180,335,41759,1
9180,335,41775,1
9180,335,41800,1
9180,335,41789,1
9180,335,41806,1
9180,335,41809,1
9180,335,41793,1
9180,335,41818,1
9180,335,41822,1
9180,335,41838,1
9180,335,41846,1
9180,335,41847,1
9180,335,41848,1
9180,335,41855,1
9180,335,41869,1
9180,335,41871,1
9180,335,41895,1
9180,335,41906,1
9180,335,41911,1
9180,335,41929,1
9180,335,41941,1
9180,335,41942,1
9180,335,41953,1
9180,335,41959,1
9180,335,41961,1
9180,335,41981,1
9180,335,42003,1
9180,335,42006,1
9180,335,42011,1
9180,335,42013,1
9180,335,42033,1
9180,335,42042,1
9180,335,42044,1
9180,335,42038,1
9180,335,42060,1
9180,335,42065,1
9180,335,42078,1
9180,335,42088,1
9180,335,42096,1
9180,335,42102,1
9180,335,42109,1
9180,335,42114,1
9180,335,42121,1
9180,335,42123,1
9180,335,42148,1
9180,335,42149,1
9180,335,42163,1
9180,335,42173,1
9180,335,42194,1
9180,335,42195,1
9180,335,42215,1
9180,335,42222,1
9180,335,42233,1
9180,335,42234,1
9180,335,42251,1
9180,335,42256,1
9180,335,42258,1
9180,335,42259,1
9180,335,42261,1
9180,335,42265,1
9180,335,42279,1
9180,335,42282,1
9180,335,42293,1
9180,335,42312,1
9180,335,42337,1
9180,335,42343,1
9180,335,42348,1
9180,335,42351,1
9180,335,42355,1
9180,335,42358,1
9180,335,42384,1
9180,335,42385,1
9180,335,42400,1
9180,335,42395,1
9180,335,42407,1
9180,335,42398,1
9180,335,42412,1
9180,335,42430,1
9180,335,42431,1
9180,335,42439,1
9180,335,42440,1
9180,335,42446,1
9180,335,42449,1
9180,335,42452,1
9180,335,42453,1
9180,335,42455,1
9180,335,42458,1
9180,335,42465,1
9180,335,42478,1
9180,335,42505,1
9180,335,42516,1
9180,335,42522,1
9180,335,42527,1
9180,335,42531,1
9180,335,42532,1
9180,335,42545,1
9180,335,42550,1
9180,335,42554,1
9180,335,42555,1
9180,335,42572,1
9180,335,42580,1
9180,335,42592,1
9180,335,42605,1
9180,335,42597,1
9180,335,42610,1
9180,335,42614,1
9180,335,42623,1
9180,335,42624,1
9180,335,42625,1
9180,335,42633,1
9180,335,42636,1
9180,335,42640,1
9180,335,42644,1
9180,335,42645,1
9180,335,42659,1
9180,335,42662,1
9180,335,42663,1
9180,335,42678,1
9180,335,42674,1
9180,335,42681,1
9180,335,42682,1
9180,335,42695,1
9180,335,42699,1
9180,335,42708,1
9180,335,42714,1
9180,335,42717,1
9180,335,42724,1
9180,335,42725,1
9180,335,42727,1
9180,335,42776,1
9180,335,42789,1
9180,335,42791,1
9180,335,42796,1
9180,335,42798,1
9180,335,42807,1
9180,335,42808,1
9180,335,42812,1
9180,335,42817,1
9180,335,42819,1
9180,335,42831,1
9180,335,42838,1
9180,335,42829,1
9180,335,42850,1
9180,335,42851,1
9180,335,42845,1
9180,335,42853,1
9180,335,42872,1
9180,335,42877,1
9180,335,42879,1
9180,335,42893,1
9180,335,42906,1
9180,335,42913,1
9180,335,42919,1
9180,335,42921,1
9180,335,42922,1
9180,335,42930,1
9180,335,42937,1
9180,335,42941,1
9180,335,42951,1
9180,335,42969,1
9180,335,42974,1
9180,335,42976,1
9180,335,42980,1
9180,335,42992,1
9180,335,42999,1
9180,335,43034,1
9180,335,43025,1
9180,335,43036,1
9180,335,43052,1
9180,335,43058,1
9180,335,43072,1
9180,335,43073,1
9180,335,43075,1
9180,335,43082,1
9180,335,43087,1
9180,335,43093,1
9180,335,43095,1
9180,335,43097,1
9180,335,43102,1
9180,335,43103,1
9180,335,43113,1
9180,335,43127,1
9180,335,43134,1
9180,335,43140,1
9180,335,43142,1
9180,335,43149,1
9180,335,43150,1
9180,335,43152,1
9180,335,43170,1
9180,335,43184,1
9180,335,43185,1
9180,335,43197,1
9180,335,43199,1
9180,335,43203,1
9180,335,43216,1
9180,335,43225,1
9180,335,43226,1
9180,335,43232,1
9180,335,43241,1
9180,335,43247,1
9180,335,43248,1
9180,335,43255,1
9180,335,43284,1
9180,335,43285,1
9180,335,43288,1
9180,335,43293,1
9180,335,43305,1
9180,335,43306,1
9180,335,43334,1
9180,335,43351,1
9180,335,43355,1
9180,335,43360,1
9180,335,43361,1
9180,335,43371,1
9180,335,43373,1
9180,335,43381,1
9180,335,43386,1
9180,335,43396,1
9180,335,43399,1
9180,335,43406,1
9180,335,43409,1
9180,335,43420,1
9180,335,43421,1
9180,335,43422,1
9180,335,43424,1
9180,335,43430,1
9180,335,43438,1
9180,335,43446,1
9180,335,43463,1
9180,335,43464,1
9180,335,43465,1
9180,335,43467,1
9180,335,43468,1
9180,335,43478,1
9180,335,43482,1
9180,335,43497,1
9180,335,43501,1
9180,335,43502,1
9180,335,43507,1
9180,335,43509,1
9180,335,43513,1
9180,335,43521,1
9180,335,43527,1
9180,335,43531,1
9180,335,43543,1
9180,335,43550,1
9180,335,43556,1
9180,335,43558,1
9180,335,43567,1
9180,335,43569,1
9180,335,43571,1
9180,335,43573,1
9180,335,43576,1
9180,335,43592,1
9180,335,43595,1
9180,335,43615,1
9180,335,43626,1
9180,335,43634,1
9180,335,43645,1
9180,335,43647,1
9180,335,43648,1
9180,335,43658,1
9180,335,43679,1
9180,335,43685,1
9180,335,43682,1
9180,335,43690,1
9181,335,43699,1
9184,335,43709,1
9184,335,43711,1
9190,335,43738,1
9191,335,43742,1
9191,335,43744,1
9192,335,43745,1
9192,335,43748,1
9194,335,43756,1
9194,335,43757,1
9195,335,43761,1
9199,335,43790,1
9200,335,43792,1
9200,335,43793,1
9205,335,43812,1
9206,335,43818,1
9208,335,43832,1
9209,335,43834,1
9213,335,43847,1
9215,335,43858,1
9219,335,43878,1
9220,335,43885,1
9223,335,43897,1
9223,335,43899,1
9226,335,43911,1
9227,335,43914,1
9236,335,43952,1
9245,335,43997,1
9246,335,44001,1
9247,335,44009,1
9247,335,44010,1
9249,335,44021,1
9250,335,44026,1
9251,335,44030,1
9251,335,44031,1
9251,335,44032,1
9251,335,44035,1
9259,335,44057,1
9261,335,44064,1
9262,335,44067,1
9262,335,44070,1
9263,335,44071,1
9264,335,44077,1
9265,335,44079,1
9267,335,44088,1
9272,335,44104,1
9273,335,44109,1
9277,335,44124,1
9279,335,44130,1
9279,335,44131,1
9281,335,44138,1
9282,335,44140,1
9282,335,44141,1
9283,335,44146,1
9286,335,44158,1
9287,335,44160,1
9287,335,44161,1
9288,335,44164,1
9290,335,44170,1
9293,335,44187,1
9294,335,44188,1
9294,335,44190,1
9297,335,44203,1
9300,335,44212,1
9300,335,44213,1
9300,335,44215,1
9300,335,44217,1
9301,335,44218,1
9304,335,44238,1
9305,335,44241,1
9306,335,44252,1
9307,335,44253,1
9307,335,44256,1
9311,335,44275,1
9312,335,44281,1
9312,335,44284,1
9313,335,44286,1
9317,335,44301,1
9321,335,44315,1
9321,335,44317,1
9322,335,44323,1
9323,335,44325,1
9324,335,44328,1
9325,335,44337,1
9326,335,44338,1
9329,335,44353,1
9333,335,44379,1
9335,335,44382,1
9336,335,44384,1
9338,335,44391,1
9338,335,44394,1
9340,335,44402,1
9340,335,44403,1
9343,335,44416,1
9344,335,44428,1
9345,335,44432,1
9346,335,44434,1
9348,335,44440,1
9349,335,44447,1
9350,335,44461,1
9351,335,44463,1
9351,335,44469,1
9352,335,44473,1
9357,335,44488,1
9357,335,44491,1
9358,335,44495,1
9358,335,44499,1
9360,335,44511,1
9360,335,37902,0
9360,335,38266,0
9360,335,38312,0
9360,335,38313,0
9360,335,38419,0
9360,335,38574,0
9360,335,38618,0
9360,335,38624,0
9360,335,38744,0
9360,335,38822,0
9360,335,38886,0
9360,335,38900,0
9360,335,38901,0
9360,335,38908,0
9360,335,38947,0
9360,335,38961,0
9360,335,38965,0
9360,335,39008,0
9360,335,39037,0
9360,335,39038,0
9360,335,39053,0
9360,335,39057,0
9360,335,39130,0
9360,335,39217,0
9360,335,39250,0
9360,335,39290,0
9360,335,39292,0
9360,335,39293,0
9360,335,39298,0
9360,335,39314,0
9360,335,39376,0
9360,335,39421,0
9360,335,39427,0
9360,335,39453,0
9360,335,39492,0
9360,335,39494,0
9360,335,39498,0
9360,335,39592,0
9360,335,39593,0
9360,335,39596,0
9360,335,39613,0
9360,335,39614,0
9360,335,39637,0
9360,335,39648,0
9360,335,39669,0
9360,335,39670,0
9360,335,39674,0
9360,335,39686,0
9360,335,39691,0
9360,335,39706,0
9360,335,39739,0
9360,335,39806,0
9360,335,39888,0
9360,335,39889,0
9360,335,39892,0
9360,335,39920,0
9360,335,39941,0
9360,335,39959,0
9360,335,39993,0
9360,335,40021,0
9360,335,40041,0
9360,335,40046,0
9360,335,40060,0
9360,335,40065,0
9360,335,40066,0
9360,335,40074,0
9360,335,40079,0
9360,335,40082,0
9360,335,40159,0
9360,335,40163,0
9360,335,40169,0
9360,335,40187,0
9360,335,40192,0
9360,335,40240,0
9360,335,40246,0
9360,335,40269,0
9360,335,40274,0
9360,335,40317,0
9360,335,40324,0
9360,335,40356,0
9360,335,40378,0
9360,335,40397,0
9360,335,40437,0
9360,335,40453,0
9360,335,40454,0
9360,335,40530,0
9360,335,40534,0
9360,335,40560,0
9360,335,40575,0
9360,335,40577,0
9360,335,40579,0
9360,335,40610,0
9360,335,40613,0
9360,335,40615,0
9360,335,40633,0
9360,335,40637,0
9360,335,40640,0
9360,335,40641,0
9360,335,40653,0
9360,335,40677,0
9360,335,40718,0
9360,335,40730,0
9360,335,40733,0
9360,335,40745,0
9360,335,40747,0
9360,335,40769,0
9360,335,40781,0
9360,335,40792,0
9360,335,40828,0
9360,335,40837,0
9360,335,40868,0
9360,335,40869,0
9360,335,40872,0
9360,335,40894,0
9360,335,40922,0
9360,335,40969,0
9360,335,40974,0
9360,335,41004,0
9360,335,41005,0
9360,335,41007,0
9360,335,41018,0
9360,335,41035,0
9360,335,41039,0
9360,335,41044,0
9360,335,41078,0
9360,335,41126,0
9360,335,41127,0
9360,335,41130,0
9360,335,41131,0
9360,335,41134,0
9360,335,41158,0
9360,335,41161,0
9360,335,41162,0
9360,335,41167,0
9360,335,41193,0
9360,335,41194,0
9360,335,41238,0
9360,335,41239,0
9360,335,41283,0
9360,335,41290,0
9360,335,41330,0
9360,335,41341,0
9360,335,41368,0
9360,335,41384,0
9360,335,41408,0
9360,335,41442,0
9360,335,41453,0
9360,335,41457,0
9360,335,41464,0
9360,335,41467,0
9360,335,41473,0
9360,335,41542,0
9360,335,41545,0
9360,335,41546,0
9360,335,41562,0
9360,335,41574,0
9360,335,41575,0
9360,335,41585,0
9360,335,41587,0
9360,335,41619,0
9360,335,41625,0
9360,335,41628,0
9360,335,41632,0
9360,335,41633,0
9360,335,41637,0
9360,335,41648,0
9360,335,41652,0
9360,335,41657,0
9360,335,41664,0
9360,335,41670,0
9360,335,41689,0
9360,335,41691,0
9360,335,41692,0
9360,335,41730,0
9360,335,41748,0
9360,335,41759,0
9360,335,41775,0
9360,335,41789,0
9360,335,41793,0
9360,335,41800,0
9360,335,41806,0
9360,335,41809,0
9360,335,41818,0
9360,335,41822,0
9360,335,41838,0
9360,335,41846,0
9360,335,41847,0
9360,335,41848,0
9360,335,41855,0
9360,335,41869,0
9360,335,41871,0
9360,335,41895,0
9360,335,41906,0
9360,335,41911,0
9360,335,41929,0
9360,335,41941,0
9360,335,41942,0
9360,335,41953,0
9360,335,41959,0
9360,335,41961,0
9360,335,41981,0
9360,335,42003,0
9360,335,42006,0
9360,335,42011,0
9360,335,42013,0
9360,335,42033,0
9360,335,42038,0
9360,335,42042,0
9360,335,42044,0
9360,335,42060,0
9360,335,42065,0
9360,335,42078,0
9360,335,42088,0
9360,335,42096,0
9360,335,42102,0
9360,335,42109,0
9360,335,42114,0
9360,335,42121,0
9360,335,42123,0
9360,335,42148,0
9360,335,42149,0
9360,335,42163,0
9360,335,42173,0
9360,335,42194,0
9360,335,42195,0
9360,335,42215,0
9360,335,42222,0
9360,335,42233,0
9360,335,42234,0
9360,335,42251,0
9360,335,42256,0
9360,335,42258,0
9360,335,42259,0
9360,335,42261,0
9360,335,42265,0
9360,335,42279,0
9360,335,42282,0
9360,335,42293,0
9360,335,42312,0
9360,335,42337,0
9360,335,42343,0
9360,335,42348,0
9360,335,42351,0
9360,335,42355,0
9360,335,42358,0
9360,335,42384,0
9360,335,42385,0
9360,335,42395,0
9360,335,42398,0
9360,335,42400,0
9360,335,42407,0
9360,335,42412,0
9360,335,42430,0
9360,335,42431,0
9360,335,42439,0
9360,335,42440,0
9360,335,42446,0
9360,335,42449,0
9360,335,42452,0
9360,335,42453,0
9360,335,42455,0
9360,335,42458,0
9360,335,42465,0
9360,335,42478,0
9360,335,42505,0
9360,335,42516,0
9360,335,42522,0
9360,335,42531,0
9360,335,42532,0
9360,335,42545,0
9360,335,42550,0
9360,335,42554,0
9360,335,42555,0
9360,335,42572,0
9360,335,42580,0
9360,335,42592,0
9360,335,42597,0
9360,335,42605,0
9360,335,42610,0
9360,335,42614,0
9360,335,42623,0
9360,335,42624,0
9360,335,42625,0
9360,335,42633,0
9360,335,42636,0
9360,335,42640,0
9360,335,42644,0
9360,335,42645,0
9360,335,42659,0
9360,335,42662,0
9360,335,42663,0
9360,335,42674,0
9360,335,42678,0
9360,335,42681,0
9360,335,42682,0
9360,335,42695,0
9360,335,42699,0
9360,335,42708,0
9360,335,42714,0
9360,335,42717,0
9360,335,42724,0
9360,335,42725,0
9360,335,42727,0
9360,335,42776,0
9360,335,42789,0
9360,335,42791,0
9360,335,42796,0
9360,335,42798,0
9360,335,42807,0
9360,335,42808,0
9360,335,42812,0
9360,335,42817,0
9360,335,42819,0
9360,335,42829,0
9360,335,42831,0
9360,335,42838,0
9360,335,42845,0
9360,335,42850,0
9360,335,42851,0
9360,335,42853,0
9360,335,42872,0
9360,335,42877,0
9360,335,42879,0
9360,335,42893,0
9360,335,42906,0
9360,335,42913,0
9360,335,42919,0
9360,335,42921,0
9360,335,42922,0
9360,335,42930,0
9360,335,42937,0
9360,335,42941,0
9360,335,42951,0
9360,335,42969,0
9360,335,42974,0
9360,335,42976,0
9360,335,42980,0
9360,335,42992,0
9360,335,42999,0
9360,335,43025,0
9360,335,43034,0
9360,335,43036,0
9360,335,43052,0
9360,335,43058,0
9360,335,43072,0
9360,335,43073,0
9360,335,43075,0
9360,335,43082,0
9360,335,43087,0
9360,335,43093,0
9360,335,43095,0
9360,335,43097,0
9360,335,43102,0
9360,335,43103,0
9360,335,43113,0
9360,335,43127,0
9360,335,43134,0
9360,335,43140,0
9360,335,43142,0
9360,335,43149,0
9360,335,43150,0
9360,335,43152,0
9360,335,43170,0
9360,335,43184,0
9360,335,43185,0
9360,335,43197,0
9360,335,43199,0
9360,335,43203,0
9360,335,43216,0
9360,335,43225,0
9360,335,43226,0
9360,335,43232,0
9360,335,43241,0
9360,335,43247,0
9360,335,43248,0
9360,335,43255,0
9360,335,43284,0
9360,335,43285,0
9360,335,43288,0
9360,335,43293,0
9360,335,43305,0
9360,335,43306,0
9360,335,43334,0
9360,335,43351,0
9360,335,43355,0
9360,335,43360,0
9360,335,43361,0
9360,335,43371,0
9360,335,43373,0
9360,335,43381,0
9360,335,43386,0
9360,335,43396,0
9360,335,43399,0
9360,335,43406,0
9360,335,43409,0
9360,335,43420,0
